[Thu Mar 17 11:56:50.743100 2016] [:error] [pid 4540:tid 1660] [client 127.0.0.1:56623] script 'D:/@thesis/mathbox/admin/login.php' not found or unable to stat, referer: http://cai-misv.com/admin/index.php
[Thu Mar 17 12:18:35.100100 2016] [:error] [pid 4540:tid 1664] [client 127.0.0.1:57293] script 'D:/@thesis/mathbox/admin/addteacherexe.php' not found or unable to stat, referer: http://cai-misv.com/admin/addteacher.php?TeacherID=413427
[Thu Mar 17 13:13:32.190100 2016] [:error] [pid 4540:tid 1672] [client 127.0.0.1:58572] script 'D:/@thesis/mathbox/admin/editteacherexe.php' not found or unable to stat, referer: http://cai-misv.com/admin/editteacher.php?TeacherID=413427
[Thu Mar 17 13:13:40.845100 2016] [:error] [pid 4540:tid 1672] [client 127.0.0.1:58577] script 'D:/@thesis/mathbox/admin/editteacherexe.php' not found or unable to stat, referer: http://cai-misv.com/admin/editteacher.php?TeacherID=413427
[Thu Mar 17 13:14:06.029100 2016] [:error] [pid 4540:tid 1672] [client 127.0.0.1:58579] script 'D:/@thesis/mathbox/admin/editteacherexe.php' not found or unable to stat, referer: http://cai-misv.com/admin/editteacher.php?TeacherID=413427
[Thu Mar 17 13:14:08.496100 2016] [:error] [pid 4540:tid 1680] [client 127.0.0.1:58586] script 'D:/@thesis/mathbox/admin/editteacherexe.php' not found or unable to stat, referer: http://cai-misv.com/admin/editteacher.php?TeacherID=413427
[Thu Mar 17 13:14:49.105100 2016] [:error] [pid 4540:tid 1676] [client 127.0.0.1:58605] script 'D:/@thesis/mathbox/admin/deleteteacher.php' not found or unable to stat, referer: http://cai-misv.com/admin/teachermaintenance.php
[Thu Apr 14 21:56:47.046400 2016] [:error] [pid 744:tid 1696] [client 127.0.0.1:57682] script 'D:/mathbox/admin/studentmainteanance.php' not found or unable to stat, referer: http://cai-misv.com/admin/deletestudent.php?StudentID=82012020
[Thu Apr 14 21:56:52.349400 2016] [:error] [pid 744:tid 1696] [client 127.0.0.1:57682] script 'D:/mathbox/admin/studentmainteanance.php' not found or unable to stat, referer: http://cai-misv.com/admin/deletestudent.php?StudentID=82012020
[Fri Apr 15 08:40:12.708300 2016] [:error] [pid 5060:tid 1692] [client 127.0.0.1:49494] script 'D:/mathbox/teacher/dashboard.php' not found or unable to stat, referer: http://cai-misv.com/teacher/teacherhome.php
[Fri Apr 15 08:40:15.787500 2016] [:error] [pid 5060:tid 1692] [client 127.0.0.1:49494] script 'D:/mathbox/teacher/teachermaintenance.php' not found or unable to stat, referer: http://cai-misv.com/teacher/teacherhome.php
[Fri Apr 15 08:40:38.763300 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:49509] script 'D:/mathbox/teacher/dashboard.php' not found or unable to stat, referer: http://cai-misv.com/teacher/teacherhome.php
